,Unnamed: 0.1,Unnamed: 0,question,triage_zone,class,action,gpt-3.5-turbo_healthcare_assistant_from_paper_reasoning_0,gpt-3.5-turbo_healthcare_assistant_from_paper_answer_0,gpt-3.5-turbo_mad_scientist_from_paper_reasoning_0,gpt-3.5-turbo_mad_scientist_from_paper_answer_0,gpt-3.5-turbo_doctor_assitant_from_paper_reasoning_0,gpt-3.5-turbo_doctor_assitant_from_paper_answer_0,gpt-3.5-turbo_healthcare_assistant_action_oriented_reasoning_0,gpt-3.5-turbo_healthcare_assistant_action_oriented_answer_0,gpt-3.5-turbo_mad_scientist_action_oriented_reasoning_0,gpt-3.5-turbo_mad_scientist_action_oriented_answer_0,gpt-3.5-turbo_doctor_assitant_action_oriented_reasoning_0,gpt-3.5-turbo_doctor_assitant_action_oriented_answer_0,gpt-4_healthcare_assistant_from_paper_reasoning_0,gpt-4_healthcare_assistant_from_paper_answer_0,gpt-4_mad_scientist_from_paper_reasoning_0,gpt-4_mad_scientist_from_paper_answer_0,gpt-4_doctor_assitant_from_paper_reasoning_0,gpt-4_doctor_assitant_from_paper_answer_0,gpt-4_healthcare_assistant_action_oriented_reasoning_0,gpt-4_healthcare_assistant_action_oriented_answer_0,gpt-4_mad_scientist_action_oriented_reasoning_0,gpt-4_mad_scientist_action_oriented_answer_0,gpt-4_doctor_assitant_action_oriented_reasoning_0,gpt-4_doctor_assitant_action_oriented_answer_0
0,0,0," 29-year-old female with foreign body in leg. She is able to ambulate with assistance from a friend. She has a tourniquet in place. It is still bleeding a lot, but her capillary refill is less than two seconds. She is breathing at 18/minute. The wound looks like it is pretty deep.   ",Green,"victim with relatively minor injuries, status is unlikely to deteriorate over days","tell where to go, away from the other victims","The patient has a foreign body in the leg with significant bleeding, indicating a potentially serious injury. However, she is able to ambulate with assistance, has good capillary refill, and is breathing adequately. The tourniquet in place is helping control the bleeding. Based on the information provided, the patient falls into the DELAYED category.",DELAYED,"The patient has a foreign body in the leg with significant bleeding, but her capillary refill is less than two seconds, indicating adequate circulation. She is breathing normally and able to ambulate with assistance. The wound appears deep but does not compromise her airway, breathing, or circulation. Based on the provided information, the patient should be assigned to the DELAYED category.",DELAYED,"The patient has a foreign body in the leg, significant bleeding, and a deep wound. However, she is able to ambulate with assistance, has a tourniquet in place, and has good capillary refill. Her breathing rate is within normal limits. Based on these factors, the patient should be assigned to the DELAYED category.",DELAYED,"The patient has a foreign body in the leg, significant bleeding, and a deep wound. Despite the bleeding, her capillary refill is less than two seconds, indicating adequate circulation. She is able to ambulate with assistance and is breathing at a normal rate. These factors suggest that the patient's condition is stable and not immediately life-threatening.",MINOR,"The patient has a foreign body in the leg, significant bleeding, and a deep wound. Despite the bleeding, her capillary refill is less than two seconds, indicating adequate circulation. She is able to ambulate with assistance and is breathing at a normal rate. These factors suggest that her condition is serious but stable, and she can be categorized as DELAYED.",Delay assistance until severely injured patients have been helped.,"The patient has a foreign body in the leg, significant bleeding, and a deep wound. Despite being able to ambulate with assistance and having a tourniquet in place, the bleeding is still profuse. With a capillary refill of less than two seconds and a respiratory rate within normal limits, the patient requires immediate medical attention to address the bleeding and potential complications from the foreign body and deep wound.",IMMEDIATE,"The patient has a serious injury that is still bleeding, even with a tourniquet in place. However, her capillary refill is less than two seconds, which indicates good circulation, and her breathing rate is normal. The wound is deep, which could potentially lead to complications. However, her status is unlikely to deteriorate significantly over several hours.",DELAYED,"The patient has a serious injury that is still bleeding, even with a tourniquet in place. The wound is deep, indicating potential damage to major blood vessels or other structures. However, her capillary refill is less than two seconds, which suggests that her circulatory system is compensating for the blood loss. Her breathing rate is normal, indicating no immediate threat to her airway or breathing. Therefore, she has serious injuries but her condition is unlikely to deteriorate significantly over the next few hours.",DELAYED,"The patient has a serious injury that is causing significant bleeding, even with a tourniquet in place. However, her capillary refill is less than two seconds, which indicates good peripheral perfusion, and her breathing rate is normal. The depth of the wound could potentially lead to complications, but her vital signs are stable for now. Therefore, she is not in immediate danger but will need attention soon.",DELAYED,"The patient has a serious injury with significant bleeding, but her vital signs are stable and she is able to move with assistance. The tourniquet is controlling the bleeding for now, but the deep wound indicates that she will need medical attention soon. However, her condition is not immediately life-threatening and she is unlikely to deteriorate significantly over several hours.",DELAYED,"The patient has a serious injury that is still bleeding, even with a tourniquet in place. However, her capillary refill is less than two seconds, which indicates good peripheral perfusion, and her breathing rate is normal. The wound is deep, which could potentially lead to complications. Despite these concerns, her condition is not immediately life-threatening and is unlikely to deteriorate significantly over several hours.",DELAYED,"The patient has a serious injury with significant bleeding, but her vital signs are stable and she is able to move with assistance. The tourniquet is controlling the bleeding for now, but the deep wound indicates that she will need medical attention soon. However, her condition is not immediately life-threatening.",DELAYED
1,1,1,  ,Red,"victim requires medical attention within 60 minutes or less for survival, includes compromises to patient's airway, breathing, and circulation",assist or obtain resources to assist,"The patient has serious and potentially life-threatening injuries, but their status is unlikely to deteriorate significantly over several hours.",DELAYED,"The patient has severe burns covering more than 80% of their body, compromising their airway and circulation. They are in critical condition and require immediate medical attention for survival.",IMMEDIATE,The patient has minor injuries with a low likelihood of deterioration over days.,MINOR,"The patient has severe injuries but is not in immediate danger of death within the next hour. Their status is unlikely to deteriorate significantly over several hours. Therefore, they should be categorized as DELAYED.",Delay assistance until severely injured patients have been helped.,The patient has severe injuries but their status is unlikely to deteriorate significantly over several hours.,DELAYED,The patient has minor injuries that are unlikely to deteriorate over days.,MINOR,,,"The patient has a broken leg and is in severe pain. This is a serious injury, but it is not immediately life-threatening. The patient's status is unlikely to deteriorate significantly over several hours.",DELAYED,"The patient has a broken leg and is in pain, but their vital signs are stable and they are conscious and alert. This indicates that their injuries, while serious, are not immediately life-threatening and can be managed within several hours.",DELAYED,"The patient has a broken leg and is in severe pain. This is a serious injury, but it is not immediately life-threatening. The patient's status is unlikely to deteriorate significantly over several hours.",DELAYED,,,"The patient has a severe head injury and is unconscious. This indicates a potentially life-threatening condition that requires immediate medical attention. The patient's airway may be compromised due to the unconscious state, and the severe head injury could lead to further complications such as brain damage or internal bleeding.",IMMEDIATE
2,2,2, 44-year-old male with sharp trauma to neck. Capillary refill of four seconds and the patient is not following simple commands. The patient is dripping blood everywhere. You cannot see if it is pulsatile under the bandages.   ,Red,"victim requires medical attention within 60 minutes or less for survival, includes compromises to patient's airway, breathing, and circulation",assist or obtain resources to assist,"The patient's sharp trauma to the neck, capillary refill of four seconds, altered mental status, and uncontrolled bleeding indicate a potentially life-threatening injury compromising the patient's airway, breathing, and circulation.",IMMEDIATE,"Sharp trauma to the neck with capillary refill of four seconds, altered mental status, and active bleeding indicates compromised airway, breathing, and circulation. The potential for significant hemorrhage and airway compromise necessitates immediate intervention for survival.",IMMEDIATE,"The patient has a sharp trauma to the neck, capillary refill of four seconds, altered mental status (not following simple commands), and uncontrolled bleeding. These signs indicate a compromised airway, breathing, and circulation, which are life-threatening. Immediate medical attention is required for survival.",IMMEDIATE,"The patient has sharp trauma to the neck with signs of poor perfusion (capillary refill of four seconds) and altered mental status (not following simple commands). The bleeding is significant and may be arterial. These findings indicate a compromised airway, breathing, or circulation, requiring immediate medical attention within 60 minutes for survival.",IMMEDIATE,"The patient presents with a sharp trauma to the neck, capillary refill of four seconds, altered mental status (not following simple commands), and active bleeding. These signs indicate a compromised airway, breathing, and circulation, which are critical and require immediate attention for survival.",IMMEDIATE,"The patient has a sharp trauma to the neck with capillary refill of four seconds, altered mental status, and uncontrolled bleeding. These signs indicate a compromised airway, breathing, and circulation, requiring immediate medical attention within 60 minutes for survival.",IMMEDIATE,"The patient has a sharp trauma to the neck, which is a critical area with major blood vessels. The fact that the patient is not following simple commands suggests a possible lack of oxygen to the brain due to blood loss. The capillary refill of four seconds is also a concern, indicating poor peripheral perfusion. The patient is losing blood rapidly, which is a life-threatening situation.",IMMEDIATE,"The patient has a sharp trauma to the neck, which is a critical area with major blood vessels. The fact that he is not following simple commands suggests a possible lack of oxygen to the brain due to blood loss. The capillary refill of four seconds is also a concern, indicating poor peripheral perfusion. The continuous bleeding, especially if it's pulsatile, could indicate arterial damage. This patient requires immediate medical attention.",IMMEDIATE,"The patient has a sharp trauma to the neck, which is a critical area with major blood vessels. The capillary refill time is longer than normal, indicating poor perfusion. The patient is also not following simple commands, suggesting a possible brain injury or shock. The continuous bleeding could lead to a life-threatening situation.",IMMEDIATE,"The patient has a sharp trauma to the neck, which is a life-threatening injury. The capillary refill of four seconds indicates poor peripheral perfusion, suggesting shock. The patient's inability to follow simple commands suggests a decreased level of consciousness, which could be due to hypoxia or shock. The bleeding needs to be controlled immediately to prevent further blood loss.",IMMEDIATE,"The patient has a sharp trauma to the neck, which is a critical area with major blood vessels. The fact that he is not following simple commands indicates a possible loss of consciousness or shock, which could be due to significant blood loss. The capillary refill of four seconds is also a concern, as it indicates poor peripheral perfusion, likely due to significant blood loss. The patient's condition is critical and requires immediate medical attention.",IMMEDIATE,"The patient has a sharp trauma to the neck, which is a critical area with major blood vessels. The fact that he is not following simple commands indicates a possible loss of consciousness or shock, which could be due to significant blood loss. The capillary refill time is also longer than normal, suggesting poor peripheral perfusion. These signs indicate that the patient's life is in immediate danger.",IMMEDIATE
3,3,3," 21-year-old male, inebriated. He is shouting “my arm hurts!” There is an obvious deformity.  ",Green,"victim with relatively minor injuries, status is unlikely to deteriorate over days","tell where to go, away from the other victims",Obvious deformity indicates a serious injury that may require immediate attention to prevent further complications or loss of limb.,IMMEDIATE,Obvious deformity and complaint of pain indicate a serious injury that needs immediate attention to prevent further complications or loss of limb.,IMMEDIATE,Obvious deformity indicates a serious injury that may require immediate attention to prevent further complications or loss of limb.,IMMEDIATE,Obvious deformity and significant pain indicate a serious injury that requires immediate attention to prevent further complications or deterioration.,IMMEDIATE,Obvious deformity and significant pain indicate a serious injury that needs immediate attention to prevent further complications or worsening of the condition.,IMMEDIATE,The patient is a 21-year-old male with an obvious deformity and complaining of arm pain. This indicates a potentially serious injury that requires immediate attention to prevent further complications.,IMMEDIATE,"The patient is a young male who is inebriated and complaining of arm pain with an obvious deformity. This suggests a possible fracture or dislocation, which, while painful and requiring treatment, is not immediately life-threatening. His vital signs are likely stable and his condition is unlikely to deteriorate significantly over several hours.",DELAYED,"The patient is a young male who is inebriated and complaining of arm pain with an obvious deformity. This suggests a possible fracture or dislocation, which, while painful and requiring treatment, is not immediately life-threatening. His vital signs are likely stable and his condition is unlikely to deteriorate significantly over several hours.",DELAYED,"The patient is a young male who is inebriated and complaining of arm pain with an obvious deformity. This suggests a possible fracture or dislocation. While painful, this is not immediately life-threatening and can be managed within a few hours without risk of significant deterioration.",DELAYED,"The patient is a young male who is inebriated and complaining of arm pain with an obvious deformity. This suggests a possible fracture or dislocation, which, while painful and requiring treatment, is not immediately life-threatening. His vital signs are likely stable and his condition is unlikely to deteriorate significantly over several hours.",DELAYED,"The patient is a 21-year-old male who is inebriated and complaining of arm pain. The obvious deformity suggests a possible fracture or dislocation. While painful, this type of injury is not immediately life-threatening and can be managed within a few hours without risk of significant deterioration. Therefore, the patient falls into the DELAYED category.",DELAYED,"The patient is a young male who is inebriated and complaining of arm pain with an obvious deformity. This suggests a possible fracture or dislocation. While painful, this is not immediately life-threatening and can be managed within a few hours without risk of significant deterioration.",DELAYED
4,4,4," 64-year-old female, breathing, not responding to commands, eyes closed, nonverbal. Appears to have a large parietal hematoma.   ",Red,"victim requires medical attention within 60 minutes or less for survival, includes compromises to patient's airway, breathing, and circulation",assist or obtain resources to assist,"Based on the patient's presentation of a large parietal hematoma and unresponsiveness, indicating a severe head injury, the patient should be assigned to the EXPECTANT/DECEASED category.",EXPECTANT/DECEASED,"64-year-old female with a large parietal hematoma, nonverbal, not responding to commands, and eyes closed indicates a serious and potentially life-threatening condition that requires immediate medical attention to prevent further deterioration.",IMMEDIATE,"Appears to have a large parietal hematoma, nonverbal, not responding to commands, and breathing. These symptoms indicate a serious and potentially life-threatening condition that requires immediate medical attention within 60 minutes for survival.",IMMEDIATE,"Large parietal hematoma indicates a serious head injury that may compromise the patient's airway, breathing, or circulation. The patient is not responding to commands and appears nonverbal, suggesting a significant neurological impairment. This patient requires immediate medical attention within 60 minutes for survival.",IMMEDIATE,"The patient is presenting with a large parietal hematoma, which indicates a serious and potentially life-threatening head injury. She is unresponsive, not following commands, and nonverbal. These signs suggest a compromised level of consciousness and neurological function. Given the severity of her condition and the need for immediate medical attention to prevent further deterioration, the patient should be categorized as IMMEDIATE.",Assist or obtain resources to assist.,"The patient is presenting with a large parietal hematoma, which indicates a serious head injury. She is not responding to commands, nonverbal, and has her eyes closed. These signs suggest a compromised level of consciousness and potential brain injury. Given the severity of her condition and the need for immediate medical attention to prevent further deterioration, the patient should be categorized as IMMEDIATE.",Assist or obtain resources to assist.,The patient is breathing but not responding to commands and has a large parietal hematoma. This indicates a serious head injury that could potentially be life-threatening. The patient's condition could deteriorate rapidly without immediate medical attention.,IMMEDIATE,"The patient is breathing but unresponsive, which indicates a serious condition. The large parietal hematoma suggests a significant head injury. Given her age and the severity of her injuries, she requires immediate medical attention.",IMMEDIATE,"The patient is breathing but unresponsive, which indicates a serious condition. The large parietal hematoma suggests a significant head injury. Given her condition, she requires immediate medical attention.",IMMEDIATE,"The patient is breathing but not responding to commands, which indicates a severe neurological injury. The large parietal hematoma suggests significant head trauma. Given her condition, she requires immediate medical attention to survive.",IMMEDIATE,"The patient is breathing but unresponsive, which indicates a severe neurological injury. The large parietal hematoma suggests significant head trauma. Given the severity of her injuries and her unresponsiveness, she requires immediate medical attention.",IMMEDIATE,The patient is breathing but not responding to commands and has a large parietal hematoma. This indicates a serious head injury that could potentially be life-threatening. The patient's condition could deteriorate rapidly without immediate medical attention.,IMMEDIATE
5,5,5," 32-year-old male, not ambulatory, bleeding from proximal right thigh. He has a tourniquet in place. When the tourniquet is removed, bleeding is pulsatile.  ",Yellow,"victim has serious and potentially life-threatening injuries, status is unlikely to deteriorate significantly over several hours",delay assistance until severely injured patients have been helped,"The patient is in critical condition with pulsatile bleeding from the proximal right thigh, indicating a major arterial injury. Immediate action is required to control the bleeding and prevent further deterioration.",IMMEDIATE,"Bleeding from the proximal right thigh with pulsatile bleeding upon tourniquet removal indicates a major arterial injury, which requires immediate attention to control the bleeding and prevent hypovolemic shock. This patient should be categorized as IMMEDIATE.",IMMEDIATE,"The patient is in the IMMEDIATE category due to the pulsatile bleeding from the proximal right thigh, which indicates a severe arterial injury requiring immediate medical attention to control the bleeding and prevent further deterioration.",IMMEDIATE,Bleeding from the proximal right thigh with pulsatile bleeding upon tourniquet removal indicates a severe arterial injury requiring immediate attention to control the bleeding and prevent further deterioration.,IMMEDIATE,"The patient is in the IMMEDIATE category due to the pulsatile bleeding from the proximal right thigh, which indicates a severe arterial injury requiring immediate attention to control the bleeding and prevent further deterioration.",Assist or obtain resources to assist.,"The patient is in the IMMEDIATE category due to the pulsatile bleeding from the proximal right thigh, indicating a severe and life-threatening injury that requires immediate medical attention to control the bleeding and prevent further complications.",Assist or obtain resources to assist.,"The patient is not ambulatory and has pulsatile bleeding from the right thigh when the tourniquet is removed. This indicates a possible arterial bleed, which can lead to rapid blood loss and shock. Therefore, immediate medical attention is required to control the bleeding and stabilize the patient.",IMMEDIATE,"The patient is not ambulatory and has pulsatile bleeding from the right thigh when the tourniquet is removed. This indicates a possible arterial injury, which can lead to significant blood loss and shock if not treated immediately. The patient's life is at immediate risk.",IMMEDIATE,"The patient is not ambulatory and has pulsatile bleeding from the right thigh when the tourniquet is removed. This indicates a possible arterial injury, which can lead to significant blood loss and shock if not treated immediately.",IMMEDIATE,"The patient is not ambulatory and has pulsatile bleeding from the right thigh when the tourniquet is removed. This indicates a severe injury, likely arterial, which can lead to significant blood loss and shock if not treated immediately. The patient's life is at immediate risk.",IMMEDIATE,"The patient is not ambulatory and has a severe bleeding from the right thigh. The bleeding is pulsatile, which indicates arterial bleeding. This is a life-threatening condition that requires immediate medical attention. If not treated promptly, the patient could bleed out and die.",IMMEDIATE,"The patient is not ambulatory and has pulsatile bleeding from the right thigh when the tourniquet is removed. This indicates a severe injury, likely arterial, which can lead to significant blood loss and shock if not treated immediately. The patient's life is at immediate risk.",IMMEDIATE
6,6,6," 19-year-old male with obvious deformity of left ankle. Talking, not ambulatory. Left dorsalis pedis pulse not present. Posterior tibial pulse present. Good cap refill.  ",Yellow,"victim has serious and potentially life-threatening injuries, status is unlikely to deteriorate significantly over several hours",delay assistance until severely injured patients have been helped,"Serious and potentially life-threatening injuries with absent left dorsalis pedis pulse indicate compromised circulation, requiring immediate medical attention for survival.",IMMEDIATE,Obvious deformity of left ankle with absent dorsalis pedis pulse indicates potential vascular compromise. Presence of posterior tibial pulse and good capillary refill suggest some perfusion. The patient needs immediate attention to assess and address the vascular status of the left ankle.,IMMEDIATE,"Obvious deformity of left ankle with absent dorsalis pedis pulse indicates potential vascular compromise and severe injury. However, presence of posterior tibial pulse and good capillary refill suggest some perfusion. The patient is not ambulatory but is talking, indicating a level of consciousness. Based on the severity of the injury and the need for urgent evaluation, the patient should be assigned to the IMMEDIATE category for prompt medical attention within 60 minutes.",Assign patient to IMMEDIATE category,"Serious and potentially life-threatening injuries with deformity of left ankle and absent dorsalis pedis pulse indicate compromised circulation, requiring urgent medical attention for survival.",IMMEDIATE,"The patient has an obvious deformity of the left ankle, indicating a serious injury. Although the patient is talking and has good capillary refill, the absence of the left dorsalis pedis pulse suggests compromised circulation. The presence of the posterior tibial pulse does not fully compensate for the lack of the dorsalis pedis pulse. This patient requires immediate medical attention to assess and address the circulatory compromise.",IMMEDIATE,"Serious and potentially life-threatening injuries with the absence of left dorsalis pedis pulse, indicating compromised circulation. Good cap refill suggests adequate perfusion for now. Immediate medical attention is required to assess and potentially address the vascular compromise.",IMMEDIATE,"The patient has a serious injury to his left ankle, indicated by the obvious deformity and absence of dorsalis pedis pulse. However, the presence of a posterior tibial pulse and good capillary refill suggest that the injury is not immediately life-threatening. The patient is also conscious and able to communicate, which further suggests that his condition is stable for the time being.",DELAYED,"The patient has a serious injury to his left ankle, indicated by the deformity and absence of dorsalis pedis pulse. However, the presence of the posterior tibial pulse and good capillary refill suggest that the injury, while serious, is not immediately life-threatening. The patient is also conscious and able to communicate, which suggests that his airway and breathing are not compromised.",DELAYED,"The patient has a serious injury to his left ankle, indicated by the obvious deformity and absence of dorsalis pedis pulse. However, the presence of the posterior tibial pulse and good capillary refill suggest that the injury, while serious, is not immediately life-threatening. The patient is also conscious and able to communicate, which further suggests that his condition is stable for the time being.",DELAYED,"The patient has a serious injury to his left ankle, indicated by the obvious deformity and absence of dorsalis pedis pulse. However, the presence of a posterior tibial pulse and good capillary refill suggest that the injury is not immediately life-threatening. The patient is also conscious and able to communicate, which further suggests that his condition is stable for the time being.",DELAYED,"The patient has a serious injury to his left ankle, indicated by the obvious deformity and absence of dorsalis pedis pulse. However, he is talking and has a present posterior tibial pulse and good cap refill, suggesting that his condition is stable and unlikely to deteriorate significantly over several hours. Therefore, he does not require immediate medical attention.",DELAYED,"The patient has a serious injury to his left ankle, indicated by the obvious deformity and absence of dorsalis pedis pulse. However, the presence of the posterior tibial pulse and good capillary refill suggest that the injury is not immediately life-threatening. The patient is also conscious and able to communicate, which further suggests that his condition is stable for the time being.",DELAYED
7,7,7, 56-year-old male with burns to his entire body. He is unable to ambulate. You can’t assess capillary refill due to burns. Soot in nares with circumferential extremity burns. Complaining of extreme pain and begging for pain medication. Asking if he is going to die.   ,Red,"victim requires medical attention within 60 minutes or less for survival, includes compromises to patient's airway, breathing, and circulation",assist or obtain resources to assist,"Based on the severity of the burns, the patient's inability to ambulate, soot in nares, and extreme pain, along with the circumferential extremity burns, the patient should be categorized as EXPECTANT/DECEASED.",EXPECTANT/DECEASED,"The patient has burns to his entire body, including circumferential extremity burns, indicating a severe injury. He is in extreme pain and asking if he is going to die, suggesting a high level of distress. Due to the severity of his condition and the need for immediate medical attention to address pain and potential airway compromise, I would assign this patient to the IMMEDIATE category.",Assign patient to the IMMEDIATE category.,"The patient has burns to his entire body, including circumferential extremity burns, which can lead to compromised circulation. He is in extreme pain and asking if he is going to die, indicating a high level of distress. These factors suggest that the patient should be categorized as IMMEDIATE.",IMMEDIATE,"The patient has burns to his entire body, is unable to ambulate, and has soot in nares with circumferential extremity burns. He is also complaining of extreme pain and asking if he is going to die. These are severe indicators of life-threatening injuries requiring immediate medical attention.",IMMEDIATE,"The patient has burns to his entire body, is unable to ambulate, and has soot in nares with circumferential extremity burns. He is in extreme pain and asking if he is going to die. These are severe indicators of critical condition requiring immediate attention.",IMMEDIATE,"The patient has burns to his entire body, is unable to ambulate, and is in extreme pain. He is also asking if he is going to die. These factors indicate that the patient's injuries are severe and life-threatening, requiring immediate medical attention for pain relief and assessment of the extent of his injuries.",IMMEDIATE,"The patient has extensive burns all over his body, which is a life-threatening condition. The presence of soot in his nares indicates possible inhalation injury, which can lead to respiratory distress. His inability to ambulate and the circumferential burns on his extremities suggest deep tissue damage. His extreme pain and the severity of his injuries indicate a critical condition that requires immediate attention.",IMMEDIATE,"The patient has extensive burns all over his body, which is a life-threatening condition. The presence of soot in his nares indicates possible inhalation injury, which can lead to respiratory distress. His inability to ambulate and the circumferential burns on his extremities suggest deep tissue damage. His extreme pain and the severity of his injuries indicate a critical condition that requires immediate attention.",IMMEDIATE,"The patient has extensive burns all over his body, which is a life-threatening condition. The presence of soot in his nares indicates possible inhalation injury, which can lead to respiratory distress. His inability to ambulate and the circumferential burns on his extremities suggest deep tissue damage. These injuries require immediate medical attention.",IMMEDIATE,"The patient has severe, circumferential burns and is in extreme pain. His inability to ambulate and the presence of soot in his nares suggest inhalation injury, which can lead to respiratory failure. The severity of his injuries and the potential for rapid deterioration make him a candidate for immediate intervention. However, given the extent of his burns, his chances of survival are extremely low, especially in a mass casualty situation where resources are limited.",EXPECTANT/DECEASED,"This patient has extensive burns all over his body, which is a life-threatening condition. The presence of soot in his nares indicates possible inhalation injury, which can lead to respiratory failure. His inability to ambulate and the circumferential burns on his extremities suggest deep tissue damage. His condition is critical and requires immediate attention. However, given the severity of his injuries and the limited resources available, his chances of survival are extremely low.",EXPECTANT/DECEASED,"The patient has severe, circumferential burns and is in extreme pain. His inability to ambulate and the presence of soot in his nares suggest inhalation injury, which can lead to respiratory compromise. The inability to assess capillary refill due to the extent of the burns also indicates the severity of his condition. Given the severity of his injuries and the potential for rapid deterioration, he requires immediate medical attention.",IMMEDIATE
8,8,8," 44-year-old female missing the distal aspect of her right upper extremity. She has the mangled, dirty extremity in a bag. Appears to be detached distal to the elbow. She has no tourniquet in place and is bleeding everywhere. She appears unsteady. Capillary refill is five seconds.  ",Red,"victim requires medical attention within 60 minutes or less for survival, includes compromises to patient's airway, breathing, and circulation",assist or obtain resources to assist,"Severe injury with active bleeding, detached limb, and signs of shock. Capillary refill time is prolonged indicating poor perfusion. Immediate intervention required for hemorrhage control and resuscitation.",IMMEDIATE,"Severe injury with active bleeding, detached limb, and delayed capillary refill indicating poor perfusion. High risk of hemorrhagic shock and infection. Unlikely to survive without immediate intervention.",IMMEDIATE,Severe injury with active bleeding and potential for hypovolemic shock. Detached extremity indicates significant trauma. Capillary refill time of five seconds suggests poor perfusion. Immediate intervention required for hemorrhage control and potential life-saving measures.,IMMEDIATE,The patient is in critical condition with severe bleeding and a detached extremity. Capillary refill of five seconds indicates poor circulation. Immediate medical attention is required to control bleeding and prevent further deterioration.,IMMEDIATE,The patient is in a critical condition with severe bleeding and a detached extremity. Capillary refill of five seconds indicates poor circulation. Immediate medical attention is required to control bleeding and address the compromised circulation to prevent further deterioration.,IMMEDIATE,"The patient is in a critical condition with severe bleeding and a detached extremity. Capillary refill of five seconds indicates poor circulation. Immediate medical attention is required to control bleeding, assess for shock, and potentially attempt limb salvage.",IMMEDIATE,"The patient has a severe injury with active bleeding and signs of shock (unsteady, delayed capillary refill). This indicates a compromise to her circulation, which requires immediate medical attention for survival.",IMMEDIATE,"The patient has a severe injury with active bleeding and signs of shock (unsteady, delayed capillary refill). This indicates a compromise to her circulation, which requires immediate medical attention for survival.",IMMEDIATE,"The patient has a severe injury with active bleeding and signs of shock (unsteady, delayed capillary refill). This indicates a compromise to her circulation, which requires immediate medical attention for survival.",IMMEDIATE,"The patient has a severe injury with active bleeding and signs of shock (unsteady, delayed capillary refill). This indicates a compromise to her circulation, which requires immediate medical attention for survival.",IMMEDIATE,"The patient has a severe injury with active bleeding and signs of shock (unsteady, delayed capillary refill). This indicates a compromise to her circulation, which requires immediate medical attention for survival.",IMMEDIATE,"The patient has a severe injury with active bleeding and signs of shock (unsteady, delayed capillary refill). This indicates a compromise to her circulation, which requires immediate medical attention for survival.",IMMEDIATE
9,9,9, 13-year-old male with a bleeding finger. He is ambulatory. He states his finger hurts. No obvious deformity.  ,Green,"victim with relatively minor injuries, status is unlikely to deteriorate over days","tell where to go, away from the other victims",Relatively minor injury with no obvious deformity and the patient is ambulatory. Status is unlikely to deteriorate over days.,MINOR,Relatively minor injury with no obvious deformity and the patient is ambulatory. Bleeding can likely be controlled easily.,MINOR,Relatively minor injury with no obvious deformity and the patient is ambulatory. Bleeding can likely be controlled easily.,MINOR,Relatively minor injury with no life-threatening complications,MINOR,Relatively minor injury with no life-threatening complications,MINOR,Relatively minor injury with no life-threatening complications. Ambulatory and stable. No immediate need for medical attention.,MINOR,"The patient is a 13-year-old male with a bleeding finger. He is able to walk and there is no obvious deformity. His injury, while painful, is not life-threatening and his condition is unlikely to deteriorate over days.",MINOR,"The patient is a young male with a minor injury. He is ambulatory and in pain, but there is no obvious deformity. His condition is unlikely to deteriorate over days.",MINOR,"The patient is a 13-year-old male with a bleeding finger. He is able to walk and there is no obvious deformity. His injury, while painful, is not life-threatening and is unlikely to deteriorate significantly over the next few hours or days.",MINOR,The patient is ambulatory and has a minor injury that is not life-threatening. His status is unlikely to deteriorate over days.,MINOR,The patient is ambulatory and has a minor injury that is not life-threatening. His status is unlikely to deteriorate over days.,MINOR,The patient is ambulatory and has a minor injury that is not life-threatening. His status is unlikely to deteriorate over days.,MINOR
