,question_id,Unnamed: 0,question,triage_zone,class,action,claude-3-haiku-20240229_healthcare_assistant_from_paper_reasoning_0,claude-3-haiku-20240229_healthcare_assistant_from_paper_answer_0,claude-3-haiku-20240229_doctor_assitant_from_paper_reasoning_0,claude-3-haiku-20240229_doctor_assitant_from_paper_answer_0,claude-3-haiku-20240229_healthcare_assistant_action_oriented_reasoning_0,claude-3-haiku-20240229_healthcare_assistant_action_oriented_answer_0,claude-3-haiku-20240229_doctor_assitant_action_oriented_reasoning_0,claude-3-haiku-20240229_doctor_assitant_action_oriented_answer_0,claude-3-haiku-20240229_healthcare_assistant_outcome_oriented_reasoning_0,claude-3-haiku-20240229_healthcare_assistant_outcome_oriented_answer_0,claude-3-haiku-20240229_doctor_assitant_outcome_oriented_reasoning_0,claude-3-haiku-20240229_doctor_assitant_outcome_oriented_answer_0,claude-3-haiku-20240229_from_paper_no_prompt_answer_0,claude-3-haiku-20240229_from_paper_no_prompt_reasoning_0,claude-3-haiku-20240229_action_oriented_no_prompt_answer_0,claude-3-haiku-20240229_action_oriented_no_prompt_reasoning_0,claude-3-haiku-20240229_outcome_oriented_no_prompt_answer_0,claude-3-haiku-20240229_outcome_oriented_no_prompt_reasoning_0
0,0,0," 29-year-old female with foreign body in leg. She is able to ambulate with assistance from a friend. She has a tourniquet in place. It is still bleeding a lot, but her capillary refill is less than two seconds. She is breathing at 18/minute. The wound looks like it is pretty deep.   ",Green,"victim with relatively minor injuries, status is unlikely to deteriorate over days","tell where to go, away from the other victims","The patient has a serious injury with a foreign body in the leg that is still bleeding significantly, despite the tourniquet. This indicates a compromised circulatory system that requires immediate medical attention. While the patient is able to ambulate with assistance, the deep wound and active bleeding are life-threatening and require urgent treatment to stabilize the patient's condition.",IMMEDIATE,"The patient has a deep, bleeding wound that requires immediate medical attention. While she is able to ambulate with assistance, the active bleeding and tourniquet indicate a serious injury that could be life-threatening if not treated promptly. Her vital signs are stable for now, but the wound needs to be addressed within 60 minutes to ensure her survival.",IMMEDIATE,"The patient has a serious injury with bleeding, but is able to ambulate with assistance and has a normal respiratory rate and capillary refill. This indicates the patient's condition is stable enough to delay treatment until more severe cases have been addressed.",DELAYED,"The patient has a deep, bleeding wound that requires immediate attention. The tourniquet is in place, but the bleeding is still significant. The patient's vital signs are stable, indicating they have not gone into shock yet. However, the wound is severe enough that the patient requires treatment within 60 minutes to prevent further blood loss and potential complications. Therefore, the patient should be triaged as IMMEDIATE to receive urgent medical care.",IMMEDIATE,"The patient has a deep wound that is still bleeding significantly, indicating a serious injury that requires immediate medical attention. The tourniquet and ability to ambulate with assistance suggest the patient is in stable condition, but the bleeding and wound severity indicate the need for prompt treatment to prevent further deterioration. Therefore, the patient should be categorized as IMMEDIATE to receive treatment within the next 60 minutes.",IMMEDIATE,"The patient has a deep wound that is still bleeding significantly, indicating a serious injury that requires immediate medical attention. The tourniquet in place and the patient's ability to ambulate with assistance suggest the injury is not life-threatening at the moment, but the patient's condition could deteriorate rapidly without prompt treatment. Therefore, the patient should be categorized as IMMEDIATE to receive treatment within the next 60 minutes to ensure their survival.",IMMEDIATE,DELAYED,"The patient has a serious injury to the leg with bleeding, but is able to ambulate with assistance and has normal breathing and capillary refill. This indicates a serious but not immediately life-threatening injury, so the DELAYED category is appropriate to provide treatment within several hours.",IMMEDIATE,"This patient has a serious injury requiring urgent medical attention. The foreign body in the leg, active bleeding, and tourniquet in place indicate a life-threatening hemorrhage that needs to be addressed within 60 minutes. Although the patient is able to ambulate with assistance, the deep wound and continued bleeding mean this patient requires immediate treatment to stabilize the injury and prevent further blood loss.",IMMEDIATE,"The patient has a deep, bleeding wound that requires immediate medical attention within 60 minutes to ensure survival. While the patient is able to ambulate with assistance, the presence of a tourniquet, active bleeding, and deep wound indicate a life-threatening injury that requires prompt treatment. Assigning the patient to the IMMEDIATE category ensures they receive the necessary care as soon as possible."
1,1,1,  ,Red,"victim requires medical attention within 60 minutes or less for survival, includes compromises to patient's airway, breathing, and circulation",assist or obtain resources to assist,,,"The patient has compromised airway, breathing, or circulation, requiring medical attention within 60 minutes or less for survival. This is an immediate life-threatening condition that requires urgent treatment.",IMMEDIATE,"The patient has compromised airway, breathing, or circulation, requiring medical attention within 60 minutes or less for survival. This is an immediate life-threatening condition that requires urgent treatment.",IMMEDIATE,"The patient requires medical attention within 60 minutes or less for survival, as they have compromises to their airway, breathing, and circulation.",IMMEDIATE,"The patient has serious, life-threatening injuries that require medical attention within 60 minutes or less for survival. Their airway, breathing, and circulation are compromised, so they must be treated immediately with the limited resources available.",IMMEDIATE,"The patient has serious injuries that require medical attention within 60 minutes or less for survival, including compromises to their airway, breathing, and circulation. They require immediate treatment to have the best chance of survival.",IMMEDIATE,MINOR,"The patient has relatively minor injuries that are unlikely to deteriorate over days, so they should be assigned to the MINOR category.",IMMEDIATE,"The patient has injuries that compromise their airway, breathing, or circulation, and require medical attention within 60 minutes or less for survival. This categorizes them as an IMMEDIATE priority.",MINOR,The patient has relatively minor injuries that are unlikely to deteriorate over days. They do not require immediate attention and can be directed to a separate area to be treated later with limited resources.
2,2,2, 44-year-old male with sharp trauma to neck. Capillary refill of four seconds and the patient is not following simple commands. The patient is dripping blood everywhere. You cannot see if it is pulsatile under the bandages.   ,Red,"victim requires medical attention within 60 minutes or less for survival, includes compromises to patient's airway, breathing, and circulation",assist or obtain resources to assist,"The patient has a sharp trauma to the neck, indicating a potentially life-threatening injury to the airway or major blood vessels. The delayed capillary refill and lack of response to commands suggest compromised circulation and neurological status. Given the active bleeding, this patient requires immediate medical intervention to stabilize the airway and control hemorrhage in order to have the best chance of survival.",IMMEDIATE,"The patient has sharp trauma to the neck, indicating a potentially compromised airway. The delayed capillary refill and lack of response to commands suggest compromised circulation. Given the active bleeding, this patient requires immediate medical attention to stabilize the airway, control bleeding, and restore circulation within 60 minutes to have the best chance of survival.",IMMEDIATE,"The patient has sharp trauma to the neck, indicating a potentially compromised airway. The delayed capillary refill and lack of response to commands suggest compromised circulation. The bleeding that is not pulsatile could indicate a major vascular injury. These signs point to the patient requiring immediate medical attention within 60 minutes to have the best chance of survival.",IMMEDIATE,"The patient has sharp trauma to the neck, indicating a potentially life-threatening injury to the airway, breathing, or circulation. The delayed capillary refill and lack of response to commands suggest compromised perfusion and neurological status. The active bleeding also requires immediate intervention. Given the severity of the injuries and the need for urgent treatment, this patient should be triaged to the IMMEDIATE category to receive medical attention within 60 minutes or less for the best chance of survival.",IMMEDIATE,"The patient has sharp trauma to the neck, delayed capillary refill, and is not following commands, indicating compromised airway, breathing, and circulation. This is a life-threatening emergency requiring immediate medical attention within 60 minutes to have the best chance of survival.",IMMEDIATE,"The patient has sharp trauma to the neck, delayed capillary refill, and is not following commands, indicating compromised airway, breathing, and circulation. This is a life-threatening emergency requiring immediate treatment within 60 minutes to have the best chance of survival.",IMMEDIATE,IMMEDIATE,"The patient has a sharp trauma to the neck, indicating a potential airway compromise or major bleeding. The delayed capillary refill and unresponsiveness to commands suggest compromised circulation. These are life-threatening conditions that require immediate medical attention, so the patient should be triaged to the IMMEDIATE category.",IMMEDIATE,"The patient has signs of airway compromise, respiratory distress, and poor circulation (delayed capillary refill) which indicate life-threatening injuries. They require immediate intervention to stabilize their airway, breathing, and circulation within 60 minutes to have the best chance of survival.",IMMEDIATE,"The patient presents with a sharp trauma to the neck, impaired mental status, and active bleeding, indicating compromised airway, breathing, and circulation. This warrants immediate intervention within 60 minutes to attempt to stabilize the patient and prevent further deterioration."
3,3,3," 21-year-old male, inebriated. He is shouting “my arm hurts!” There is an obvious deformity.  ",Green,"victim with relatively minor injuries, status is unlikely to deteriorate over days","tell where to go, away from the other victims","The patient has an obvious deformity, indicating a serious injury that requires immediate medical attention. Even though the patient is inebriated, the severity of the injury takes priority over their intoxicated state. Immediate treatment is necessary to stabilize the patient's condition and prevent further deterioration.",IMMEDIATE,"The patient has an obvious deformity, indicating a serious injury that requires immediate medical attention. Even though the patient is inebriated and shouting, the deformity suggests a compromised airway, breathing, or circulation that needs to be addressed within 60 minutes for the patient's survival.",IMMEDIATE,"The patient has an obvious deformity, indicating a serious injury that requires immediate medical attention. Even though the patient is inebriated, the injury to the arm takes priority and requires treatment within 60 minutes to ensure the best chance of survival and recovery.",IMMEDIATE,"The patient has an obvious deformity, indicating a serious injury that requires immediate medical attention. Even though the patient is inebriated, the visible injury to the arm takes priority and requires treatment within 60 minutes to ensure the best chance of survival and recovery.",IMMEDIATE,"The patient has an obvious deformity, indicating a serious injury that requires immediate medical attention. The patient's airway, breathing, and circulation are likely compromised, and they need treatment within 60 minutes to have the best chance of survival.",IMMEDIATE,"The patient has an obvious deformity, indicating a serious injury that requires immediate medical attention. Even though the patient is inebriated, the visible injury to the arm takes priority and requires treatment within 60 minutes to ensure the best chance of survival and recovery.",IMMEDIATE,IMMEDIATE,"The patient has an obvious deformity, indicating a severe injury that requires immediate medical attention. Delayed treatment could lead to further harm or even loss of the limb. The patient's condition is urgent and life-threatening, so he must be treated as an immediate priority.",IMMEDIATE,"The patient has an obvious deformity in their arm, which indicates a serious injury that requires immediate attention. Shouting in pain and the description of the injury suggest the patient's condition is life-threatening and they need urgent medical care within 60 minutes to survive.",IMMEDIATE,"The patient has an obvious deformity, indicating a serious injury that requires immediate medical attention. Even though he is shouting about his arm, his airway, breathing, and circulation could be compromised, so he needs urgent treatment within 60 minutes to have the best chance of survival."
4,4,4," 64-year-old female, breathing, not responding to commands, eyes closed, nonverbal. Appears to have a large parietal hematoma.   ",Red,"victim requires medical attention within 60 minutes or less for survival, includes compromises to patient's airway, breathing, and circulation",assist or obtain resources to assist,"The patient has a severe head injury with a large parietal hematoma, is not responding to commands, and appears to be in critical condition. Given the limited resources and high number of casualties, this patient is unlikely to survive and should be triaged to the EXPECTANT/DECEASED category to prioritize treatment for patients with a higher chance of survival.",EXPECTANT/DECEASED,"The patient has a large parietal hematoma, which is a life-threatening injury that requires immediate medical attention. The patient is not responding to commands and appears to have compromised airway, breathing, and circulation, all of which are indicators for the IMMEDIATE category.",IMMEDIATE,"The patient has a large parietal hematoma, which is a life-threatening injury that requires immediate medical attention. The patient is breathing but not responding to commands, indicating a compromised airway and neurological status. This patient requires urgent treatment within 60 minutes to have the best chance of survival.",IMMEDIATE,"The patient has a large parietal hematoma, which is a life-threatening injury that requires immediate medical attention. The patient is breathing but not responding to commands, indicating a compromised airway and neurological status. This patient requires urgent intervention within 60 minutes to have the best chance of survival.",IMMEDIATE,"The patient has a severe head injury with a large parietal hematoma, is not responding to commands, and appears to be in critical condition. Given the limited resources available, this patient is unlikely to survive and should be triaged to the EXPECTANT/DECEASED category to prioritize treatment for patients with a higher chance of survival.",EXPECTANT/DECEASED,"The patient has a severe head injury with a large parietal hematoma, is not responding to commands, and appears to be in critical condition. Given the limited resources available, this patient is unlikely to survive and should be triaged to the EXPECTANT/DECEASED category to prioritize treatment for patients with a higher chance of survival.",EXPECTANT/DECEASED,IMMEDIATE,"The patient has a severe head injury with a large parietal hematoma, is not responding to commands, and appears to have compromised airway and breathing, indicating immediate life-threatening condition. This patient requires urgent medical intervention within 60 minutes or less to have the best chance of survival.",IMMEDIATE,"The patient has a severe head injury, as indicated by the large parietal hematoma, which is likely life-threatening. The patient is also not responding to commands and appears nonverbal, suggesting compromised airway, breathing, and/or circulation. This patient requires immediate medical intervention within 60 minutes to have the best chance of survival.",IMMEDIATE,"The patient's nonresponsive status, closed eyes, and suspected large parietal hematoma indicate a serious, life-threatening injury that requires immediate medical attention within 60 minutes. This patient should be categorized as IMMEDIATE and treated as soon as possible to maximize their chances of survival."
5,5,5," 32-year-old male, not ambulatory, bleeding from proximal right thigh. He has a tourniquet in place. When the tourniquet is removed, bleeding is pulsatile.  ",Yellow,"victim has serious and potentially life-threatening injuries, status is unlikely to deteriorate significantly over several hours",delay assistance until severely injured patients have been helped,"The patient has a pulsatile bleeding from the proximal right thigh, which indicates a severe injury to a major blood vessel. This is a life-threatening condition that requires immediate medical intervention to control the bleeding and stabilize the patient. Assigning the patient to the IMMEDIATE category ensures they receive the highest priority for treatment to maximize their chances of survival.",IMMEDIATE,"The patient has a pulsatile bleeding from the proximal right thigh, indicating a severe injury to a major blood vessel. This requires immediate medical attention to control the bleeding and prevent life-threatening blood loss. The tourniquet in place is a temporary measure, but the patient needs definitive surgical treatment within 60 minutes to survive.",IMMEDIATE,"The patient has a pulsatile bleeding from the proximal right thigh, indicating a severe injury to a major blood vessel. This requires immediate medical attention to control the bleeding and prevent life-threatening blood loss. The tourniquet in place is a temporary measure, but the patient needs definitive surgical treatment within 60 minutes to survive.",IMMEDIATE,"The patient has a pulsatile bleeding from the proximal right thigh, indicating a severe injury to a major blood vessel. This requires immediate medical attention to control the bleeding and prevent life-threatening blood loss. The patient should be categorized as IMMEDIATE to receive priority treatment.",IMMEDIATE,"The patient has a pulsatile bleeding from the proximal right thigh, which indicates a severe injury to a major blood vessel. This is a life-threatening condition that requires immediate medical attention to control the bleeding and prevent further blood loss. The patient should be triaged to the IMMEDIATE category to receive treatment within the next 60 minutes to maximize their chances of survival.",IMMEDIATE,"The patient has a pulsatile bleeding from the proximal right thigh, which indicates a severe injury to a major blood vessel. This is a life-threatening condition that requires immediate intervention to control the bleeding and stabilize the patient. The tourniquet in place is a temporary measure, but the patient needs definitive surgical treatment within 60 minutes to have the best chance of survival.",IMMEDIATE,IMMEDIATE,"The patient has a pulsatile bleed from the proximal right thigh, which indicates a severe injury to a major blood vessel. This is a critical, life-threatening condition that requires immediate surgical intervention to control bleeding and prevent hypovolemic shock. The tourniquet in place is appropriate initial treatment, but the patient must be moved to the Immediate treatment area for definitive care within 60 minutes to maximize chances of survival.",IMMEDIATE,"The patient has a serious and potentially life-threatening injury to their proximal right thigh, with pulsatile bleeding indicating significant blood loss. This requires immediate medical attention within 60 minutes to stabilize the patient's condition and prevent further blood loss and shock. The tourniquet is in place, indicating the need for urgent intervention.",IMMEDIATE,"The patient has a life-threatening injury with pulsatile bleeding from the proximal right thigh, which requires immediate medical attention to control the bleeding and stabilize the patient's condition. This patient falls into the IMMEDIATE category as they require treatment within 60 minutes or less to have a chance of survival."
6,6,6," 19-year-old male with obvious deformity of left ankle. Talking, not ambulatory. Left dorsalis pedis pulse not present. Posterior tibial pulse present. Good cap refill.  ",Yellow,"victim has serious and potentially life-threatening injuries, status is unlikely to deteriorate significantly over several hours",delay assistance until severely injured patients have been helped,"The patient has a serious injury to their left ankle, with an obvious deformity and absent dorsalis pedis pulse, indicating potential vascular compromise. However, they are still talking and have a present posterior tibial pulse, suggesting the injury is not immediately life-threatening. Therefore, the appropriate triage category is DELAYED, as the patient requires medical attention within several hours but is unlikely to deteriorate significantly in the short term.",DELAYED,"The patient has a serious injury to their left ankle, with an obvious deformity and absent dorsalis pedis pulse, indicating potential vascular compromise. However, they are still talking and have a present posterior tibial pulse, suggesting the injury is not immediately life-threatening. This patient should be triaged to the DELAYED category to receive medical attention within several hours to prevent further deterioration.",DELAYED,"The patient has a serious injury to their left ankle, with an obvious deformity and lack of dorsalis pedis pulse, indicating potential vascular compromise. However, they are still talking and have a present posterior tibial pulse, suggesting their condition is stable enough to delay treatment until more severe cases have been addressed. The patient should be triaged to the DELAYED category to receive treatment after the most critical patients.",DELAYED,"The patient has a serious injury to the left ankle, with an obvious deformity and absent dorsalis pedis pulse, indicating potential vascular compromise. However, the patient is talking and has a present posterior tibial pulse, suggesting the injury is not immediately life-threatening. The patient should be categorized as DELAYED, requiring treatment but not within the first 60 minutes.",DELAYED,"The patient has a serious injury to their left ankle, with an obvious deformity and absent dorsalis pedis pulse, indicating potential vascular compromise. However, the patient is talking and has a present posterior tibial pulse, suggesting the injury is not immediately life-threatening. The patient should be categorized as DELAYED, receiving treatment after more critical patients but before minor injuries, to address the potentially serious ankle injury.",DELAYED,,,DELAYED,"The patient has a serious injury to their left ankle with an obvious deformity, indicating a potentially life-threatening condition. However, they are talking and have a present posterior tibial pulse, suggesting their airway, breathing, and circulation are not immediately compromised. This patient should be assigned to the DELAYED category to receive medical attention within several hours, but is not in immediate danger of deterioration.",DELAYED,"The patient has a serious ankle injury that is potentially life-threatening, but their vital signs and mental status indicate they are unlikely to deteriorate significantly in the short term. This patient should be triaged as DELAYED to receive treatment after more critical patients.",DELAYED,"The patient has a serious injury to their left ankle, as indicated by the obvious deformity and lack of dorsalis pedis pulse. However, they are still talking and have a present posterior tibial pulse, suggesting their circulation is not severely compromised. This indicates a potentially life-threatening but not immediately critical injury, so the patient should be categorized as DELAYED to receive care after more immediate cases."
7,7,7, 56-year-old male with burns to his entire body. He is unable to ambulate. You can’t assess capillary refill due to burns. Soot in nares with circumferential extremity burns. Complaining of extreme pain and begging for pain medication. Asking if he is going to die.   ,Red,"victim requires medical attention within 60 minutes or less for survival, includes compromises to patient's airway, breathing, and circulation",assist or obtain resources to assist,,,"The patient has severe, life-threatening injuries including burns to his entire body, inability to ambulate, and compromised airway. Given the extent of his injuries and the limited resources available in a mass casualty incident, he is unlikely to survive and should be triaged to the EXPECTANT/DECEASED category.",EXPECTANT/DECEASED,"The patient has severe, life-threatening burns covering his entire body. He is unable to ambulate and is in extreme pain, indicating a very poor prognosis. Given the limited resources available, this patient should be triaged to the EXPECTANT/DECEASED category to prioritize treatment for patients with a higher chance of survival.",EXPECTANT/DECEASED,"The patient has severe, life-threatening burns covering his entire body. He is unable to ambulate and has circumferential extremity burns, indicating a high risk of mortality. Given the limited resources available, this patient should be triaged to the EXPECTANT/DECEASED category to prioritize treatment for patients with a higher chance of survival.",EXPECTANT/DECEASED,"The patient has severe, life-threatening burns covering his entire body. He is unable to ambulate and is in extreme pain, indicating a very poor prognosis. Given the limited resources available, this patient should be triaged to the EXPECTANT/DECEASED category, where he will receive palliative care and pain relief, as he is unlikely to survive given the severity of his injuries.",EXPECTANT/DECEASED,"The patient has severe, life-threatening burns covering his entire body. He is unable to ambulate and is in extreme pain, indicating a very poor prognosis. Given the limited resources available, this patient should be triaged to the EXPECTANT/DECEASED category, where he will receive palliative care and pain relief, as he is unlikely to survive given the severity of his injuries.",EXPECTANT/DECEASED,EXPECTANT/DECEASED,"The patient has severe, full-thickness burns covering his entire body. He is unable to ambulate, indicating a high risk of deterioration. The inability to assess capillary refill and the presence of soot in the nares suggest severe respiratory compromise. Given the extent of the injuries, the patient is unlikely to survive with the available resources, and should be categorized as EXPECTANT/DECEASED.",EXPECTANT/DECEASED,"Given the severe, life-threatening nature of the patient's burns covering his entire body, his inability to ambulate, and the significant respiratory compromise indicated by the soot in his nares, this patient is unlikely to survive even with the highest level of available care. The appropriate action is to provide palliative care and pain relief, as the patient has a very poor prognosis.",EXPECTANT/DECEASED,"The patient has extensive burns over his entire body, which is a severe and life-threatening injury. He is unable to ambulate and has circumferential extremity burns, indicating serious compromise to his circulation. Given the severity of his injuries and the limited resources available, this patient is unlikely to survive and should be triaged to the EXPECTANT/DECEASED category to receive palliative care and pain relief."
8,8,8," 44-year-old female missing the distal aspect of her right upper extremity. She has the mangled, dirty extremity in a bag. Appears to be detached distal to the elbow. She has no tourniquet in place and is bleeding everywhere. She appears unsteady. Capillary refill is five seconds.  ",Red,"victim requires medical attention within 60 minutes or less for survival, includes compromises to patient's airway, breathing, and circulation",assist or obtain resources to assist,"The patient has a severe, life-threatening injury to her right upper extremity with active bleeding. She requires immediate medical attention to control the bleeding and stabilize her condition. Delaying treatment could lead to further blood loss and potentially death. Assigning her to the IMMEDIATE category is the most appropriate action to ensure she receives the urgent care she needs to survive.",IMMEDIATE,The patient has a severe injury to her right upper extremity with active bleeding. She requires immediate medical attention to control the bleeding and stabilize her condition. The lack of a tourniquet and the prolonged capillary refill time indicate a life-threatening situation that requires urgent intervention within 60 minutes to ensure her survival.,IMMEDIATE,"The patient has a severe, life-threatening injury to her right upper extremity with active bleeding. She requires immediate medical attention to control the bleeding and stabilize her condition. Delaying treatment could lead to further blood loss and potentially death. Given the urgency of her situation, she should be triaged to the IMMEDIATE category to receive treatment within 60 minutes or less.",IMMEDIATE,"The patient has a severe, life-threatening injury to her right upper extremity with active bleeding. She requires immediate medical attention to control the bleeding and stabilize her condition. The lack of a tourniquet and the prolonged capillary refill time indicate she is in critical condition and needs urgent treatment to prevent further blood loss and potential shock. Classifying her as IMMEDIATE will ensure she receives the highest priority for treatment to save her life.",IMMEDIATE,The patient has a severe injury to her right upper extremity with active bleeding that requires immediate attention. The lack of a tourniquet and the prolonged capillary refill indicate a life-threatening condition that requires urgent treatment to control the bleeding and stabilize the patient. This patient should be categorized as IMMEDIATE to receive treatment within the next 60 minutes to maximize their chances of survival.,IMMEDIATE,The patient has a severe injury to her right upper extremity with active bleeding that requires immediate attention to control the bleeding and stabilize her condition. Her unsteady appearance and delayed capillary refill indicate she is in shock and requires urgent medical intervention within 60 minutes to prevent further deterioration and potential loss of life.,IMMEDIATE,IMMEDIATE,"The patient presents with a severe, bleeding injury to the extremity that requires urgent medical attention to control bleeding and stabilize the injury. The lack of a tourniquet and the prolonged capillary refill time indicate the patient is in shock and requires immediate intervention to prevent further deterioration and potential loss of the limb or life. This patient falls into the IMMEDIATE triage category as they require treatment within 60 minutes or less to have the best chance of survival.",IMMEDIATE,"The patient has a severe, life-threatening injury to her right upper extremity with active bleeding that requires immediate attention. She is unsteady and has delayed capillary refill, indicating compromised circulation. She requires rapid control of bleeding and likely emergent surgical intervention to save the limb and prevent further blood loss and shock. Immediate medical attention is critical for her survival.",IMMEDIATE,"The patient has a mangled, bleeding extremity injury that requires immediate attention to control bleeding and stabilize the limb. The lack of a tourniquet, the appearance of the extremity, and the prolonged capillary refill time all indicate the patient is in immediate need of emergency treatment to prevent life-threatening blood loss. This patient must be moved to the IMMEDIATE treatment zone to receive urgent care within the next 60 minutes to have the best chance of survival."
9,9,9, 13-year-old male with a bleeding finger. He is ambulatory. He states his finger hurts. No obvious deformity.  ,Green,"victim with relatively minor injuries, status is unlikely to deteriorate over days","tell where to go, away from the other victims","The patient is a 13-year-old male with a bleeding finger, but he is ambulatory and has no obvious deformity. This indicates a relatively minor injury that is unlikely to deteriorate over days. Therefore, the appropriate triage category is MINOR.",MINOR,,,,,,,,,,,MINOR,"The patient is a 13-year-old male with a bleeding finger injury, but he is ambulatory and has no obvious deformity. This indicates a relatively minor injury that is unlikely to deteriorate over days. Therefore, he should be triaged to the MINOR category.",MINOR,"The patient has a minor injury (bleeding finger) and is ambulatory, indicating their condition is unlikely to deteriorate over days. This patient should be triaged to the MINOR category and receive treatment for their finger wound.",MINOR,"The patient has a bleeding finger, but no other serious injuries. They are ambulatory and able to communicate, indicating their condition is not immediately life-threatening. This is a relatively minor injury, so the patient should be categorized as MINOR and directed to seek treatment away from the more severely injured patients to conserve resources for those who need immediate attention."
